Geneid	gene_name	Cell1Fungi3	Cell1Fungi1	Naive1	Cell2Bug2	Naive2	Cell2Fungi1	Cell1Bug2	Cell2Fungi2	Cell1Fungi2	Naive3	Cell2Bug3	Cell1Bug3	Naive4	Cell2Fungi3	Cell1Bug1	Cell2Bug1
ENSMUSG00000104046	Gm37567	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2
ENSMUSG00000102907	Gm38264	0	0	0	0	3	0	0	0	0	0	0	0	5	1	0	0
ENSMUSG00000025905	Oprk1	3	1	7	0	24	2	0	1	1	0	0	0	24	2	0	0
ENSMUSG00000103936	Gm36965	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	Gm22463	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000103519	Gm37429	0	0	9	0	8	0	0	0	2	1	0	0	27	0	0	0
ENSMUSG00000033774	Npbwr1	1	0	4	0	7	1	0	0	0	1	0	0	16	1	0	0
ENSMUSG00000103090	Gm19214	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000025907	Rb1cc1	1330	1149	1468	1337	1726	1592	1170	1611	1390	1765	1179	1550	1604	1345	1071	1118
ENSMUSG00000090031	4732440D04Rik	25	39	42	19	33	54	25	55	47	40	17	12	65	45	15	7
ENSMUSG00000087247	Fam150a	2	1	3	1	2	0	0	2	0	1	0	0	2	0	0	0
ENSMUSG00000103355	Gm2147	0	1	0	0	0	1	2	0	3	0	1	0	0	0	1	0
ENSMUSG00000102706	Gm7417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	Gm19026	2	0	0	0	13	2	0	0	4	0	1	0	21	0	1	0
ENSMUSG00000033740	St18	208	199	9	233	25	76	159	74	212	3	152	217	37	65	162	136
ENSMUSG00000103329	Gm37405	0	1	0	0	2	0	1	0	0	0	0	0	9	0	0	0
ENSMUSG00000104385	Gm7449	0	0	4	0	10	0	0	0	0	1	0	0	18	0	0	1
ENSMUSG00000102135	Gm37108	5	4	9	10	9	7	9	8	5	5	12	9	16	10	6	7
ENSMUSG00000103282	Gm37275	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	Gm37225	0	0	1	0	3	0	0	1	0	0	0	0	9	0	0	0
ENSMUSG00000102213	Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103629	Gm5694	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000051285	Pcmtd1	3016	2710	1988	2836	3305	3482	2019	3476	2711	2691	2925	3141	2205	3072	1686	2134
ENSMUSG00000098201	Gm26983	2	0	0	0	0	0	0	0	0	3	0	2	3	1	1	2
ENSMUSG00000103509	Gm38372	4	1	4	0	4	1	7	3	4	4	1	7	14	2	4	1
ENSMUSG00000048538	Gm9826	3	2	10	0	13	0	5	2	1	8	1	4	9	4	2	2
ENSMUSG00000103709	Nras-ps2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	Gm19002	0	0	0	0	3	1	0	0	0	1	0	0	4	0	0	0
ENSMUSG00000097797	Gm26901	5	8	11	7	26	0	7	5	5	5	5	7	32	6	7	7
ENSMUSG00000103498	Gm18984	0	1	11	0	4	0	0	0	0	0	0	0	7	0	0	0
ENSMUSG00000103067	Gm30414	1	0	4	0	7	1	0	0	2	0	0	0	8	1	0	0
ENSMUSG00000102320	Gm37791	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	Gm7470	0	1	3	0	8	0	0	0	0	1	0	0	21	0	0	0
ENSMUSG00000103903	Rps2-ps2	0	0	7	0	4	0	2	0	1	1	1	0	11	0	1	1
ENSMUSG00000103557	Gm38216	0	0	3	0	8	1	1	0	1	3	0	0	29	0	0	0
ENSMUSG00000025909	Sntg1	1	3	14	1	32	2	3	1	5	9	1	1	85	2	6	4
ENSMUSG00000102647	Gm38024	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	0
ENSMUSG00000086235	Gm16284	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000102253	Gm38259	0	1	4	0	7	0	0	1	0	2	0	0	12	0	0	0
ENSMUSG00000093970	Gm23358	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103884	Gm37005	2	0	3	0	10	0	0	0	0	1	0	0	21	0	0	0
ENSMUSG00000084353	Gm15452	0	3	5	0	1	0	1	2	0	4	0	3	2	1	0	0
ENSMUSG00000103933	Gm36964	4	2	3	5	4	3	5	3	2	4	4	5	3	2	1	7
ENSMUSG00000076135	Gm24276	17	8	22	20	21	8	22	12	20	18	23	24	6	7	21	11
ENSMUSG00000086195	Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	Gm7445	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000066693	Gm7493	1	0	0	0	0	1	7	0	0	0	0	0	1	0	0	0
ENSMUSG00000102316	Gm37629	0	0	6	4	14	2	0	1	1	2	4	0	27	0	0	3
ENSMUSG00000103819	Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000102871	Gm37143	0	0	1	0	8	0	0	0	0	1	0	0	12	0	0	0
ENSMUSG00000101571	Gm6187	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000104428	Gm18299	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000102272	Gm7512	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000065625	Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	Gm18300	1	2	3	0	1	1	0	1	3	0	0	0	6	0	1	0
ENSMUSG00000061024	Rrs1	1584	1456	1618	3828	2028	2539	1703	2544	1528	1617	3085	1960	1351	2489	1654	3539
ENSMUSG00000025911	Adhfe1	185	163	116	304	120	259	230	250	158	106	337	240	129	250	200	380
ENSMUSG00000079671	2610203C22Rik	116	93	58	123	112	90	176	59	105	101	79	281	82	61	98	122
ENSMUSG00000081441	Gm6161	5	3	2	3	3	2	2	4	1	2	7	4	4	0	1	3
ENSMUSG00000067879	3110035E14Rik	0	1	0	1	1	2	1	0	2	0	0	0	3	0	0	1
ENSMUSG00000099827	Gm29520	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000025912	Mybl1	19	14	46	10	87	27	6	41	19	59	17	21	85	17	9	11
ENSMUSG00000045210	Vcpip1	1604	1553	1708	2326	2432	2222	1456	2103	1651	2233	2021	2118	1630	1839	1337	1832
ENSMUSG00000097893	1700034P13Rik	17	9	14	10	10	7	8	2	9	7	10	11	29	3	10	8
ENSMUSG00000025915	Sgk3	2273	1943	2908	2322	3314	2579	1852	2586	2277	2842	2518	2308	2141	2372	1714	2272
ENSMUSG00000046334	Gm6195	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	1
ENSMUSG00000088916	Gm22607	0	0	0	0	1	0	1	0	0	1	0	1	2	1	1	0
ENSMUSG00000046101	Mcmdc2	63	42	553	130	298	69	115	57	38	600	108	151	379	44	124	108
ENSMUSG00000098234	Snhg6	884	744	710	1229	524	604	967	580	785	772	1117	942	534	555	830	1010
ENSMUSG00000093178	Snord87	6	13	56	18	28	11	9	9	12	41	11	6	42	13	4	11
ENSMUSG00000099032	Tcf24	19	23	82	54	99	102	19	105	16	113	57	26	54	100	31	51
ENSMUSG00000104025	E330040D14Rik	0	1	2	1	2	0	0	1	0	0	1	1	5	6	0	1
ENSMUSG00000025916	Ppp1r42	1	3	4	1	6	4	5	2	1	3	2	0	12	2	6	3
ENSMUSG00000087199	Gm15818	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000095780	Gm24674	0	1	4	0	4	0	0	0	0	0	0	0	5	0	0	0
ENSMUSG00000025917	Cops5	3507	3056	3090	1893	3585	3837	2710	3894	3158	4015	3228	3298	2989	3681	2776	2761
ENSMUSG00000056763	Cspp1	769	635	1245	1241	1359	884	976	869	771	1364	938	1276	1256	764	898	873
ENSMUSG00000102356	1700047N06Rik	0	1	2	0	1	1	3	1	2	1	0	6	2	0	1	0
ENSMUSG00000067851	Arfgef1	4829	4505	3194	4982	5440	7623	2828	7850	4755	3894	4819	4038	3364	6921	2931	4340
ENSMUSG00000088153	Gm26348	1	2	0	0	3	1	1	2	1	2	0	2	3	1	0	1
ENSMUSG00000102556	Gm37569	18	18	182	29	13	22	73	17	19	56	35	73	36	27	63	9
ENSMUSG00000042501	Cpa6	7	4	23	0	32	5	1	3	2	4	0	0	77	7	0	0
ENSMUSG00000103810	Gm38005	0	0	1	0	3	0	0	0	0	1	0	0	13	0	0	0
ENSMUSG00000083422	Gm15604	2	0	3	0	0	0	1	0	0	0	1	0	3	0	0	0
ENSMUSG00000094979	Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	Gm15603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	Gm37133	0	0	5	0	16	0	0	0	1	1	0	0	14	0	0	0
ENSMUSG00000100212	Gm5522	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0
ENSMUSG00000100648	Gm28659	2	8	5	4	7	6	6	7	5	6	18	9	0	6	4	5
ENSMUSG00000088585	Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000048960	Prex2	27	26	41	43	102	25	37	19	35	23	21	45	133	14	20	5
ENSMUSG00000077318	Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000101827	Gm28686	1	3	1	0	0	0	0	1	1	1	0	0	0	0	0	1
ENSMUSG00000103494	Gm37410	0	1	3	0	7	1	0	1	0	1	0	0	24	2	0	0
ENSMUSG00000057715	A830018L16Rik	2	0	11	0	31	3	0	1	0	7	0	0	47	0	1	0
ENSMUSG00000103825	Gm38178	0	0	4	0	11	0	0	0	0	0	0	1	12	0	0	0
ENSMUSG00000099845	Gm29273	0	0	1	0	1	1	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000103561	Gm38069	0	0	22	0	29	0	0	1	0	4	0	0	40	1	0	0
ENSMUSG00000101610	Gm7560	1	0	7	1	8	2	0	1	0	1	0	0	9	0	1	0
ENSMUSG00000093864	Gm22633	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000098555	Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	Gm2383	9	4	7	3	6	9	7	8	7	7	11	5	8	7	6	6
ENSMUSG00000098163	Gm6216	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000097171	Gm17644	1	0	6	0	24	0	0	1	1	0	0	0	29	0	0	0
ENSMUSG00000101314	Gm29663	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000016918	Sulf1	12	10	12	23	29	2	16	9	9	5	7	13	63	4	23	18
ENSMUSG00000025938	Slco5a1	6	7	21	15	44	1	10	2	3	3	4	10	71	2	16	8
ENSMUSG00000104518	Gm37162	0	1	3	0	4	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000069620	Gm5250	0	0	4	0	0	0	0	0	0	1	0	0	10	0	0	0
ENSMUSG00000099498	Gm29283	1	1	1	0	2	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000042414	Prdm14	4	1	12	1	11	0	5	2	3	9	3	3	27	3	3	1
ENSMUSG00000005886	Ncoa2	1156	1067	1960	1347	1999	1337	1156	1331	1159	1927	1236	1563	1653	1266	1141	1181
ENSMUSG00000103506	Gm38376	69	65	115	157	64	72	68	69	66	74	62	80	82	39	73	58
ENSMUSG00000103495	Gm37409	15	13	34	17	14	11	29	15	19	32	5	34	22	6	42	14
ENSMUSG00000099183	Gm27881	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000102639	Gm38223	20	22	28	32	14	14	26	12	18	35	11	22	30	11	23	9
ENSMUSG00000104170	Gm37702	3	2	15	10	4	2	9	2	3	7	5	20	18	1	6	4
ENSMUSG00000087782	Gm23169	2	1	2	0	1	0	0	0	0	2	0	1	0	0	0	0
ENSMUSG00000103085	Gm38120	51	55	159	297	30	60	170	71	79	90	111	228	100	57	158	93
ENSMUSG00000102664	Gm38380	106	102	217	110	86	83	127	98	99	167	64	153	107	61	111	77
ENSMUSG00000101476	Gm29570	0	2	1	2	6	0	1	1	0	0	0	0	17	0	1	0
ENSMUSG00000101171	Gm7593	1	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0
ENSMUSG00000025935	Tram1	14178	12524	11977	15792	14937	16400	11600	15537	13093	13319	16434	13778	9288	15045	10451	16311
ENSMUSG00000025937	Lactb2	1180	1131	571	913	918	1229	909	1270	1210	846	1145	1156	658	1152	840	1080
ENSMUSG00000102982	Gm38319	52	43	14	1	25	44	31	42	39	16	6	28	22	50	25	5
ENSMUSG00000067813	Xkr9	1	2	6	0	15	0	0	0	1	3	0	0	52	0	0	0
ENSMUSG00000077368	Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	Gm5523	14	22	14	2	28	17	8	22	20	12	10	11	11	12	10	4
ENSMUSG00000102166	Gm36947	2	0	0	0	18	1	0	1	0	3	0	0	27	0	0	0
ENSMUSG00000089358	Gm25491	0	0	1	0	3	0	0	0	0	0	0	0	8	1	0	0
ENSMUSG00000104209	Gm37400	1	0	3	0	2	0	0	1	0	1	0	0	13	0	0	0
ENSMUSG00000025932	Eya1	51	42	22	130	46	48	37	53	48	13	121	51	70	38	53	94
ENSMUSG00000095853	Gm22616	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000102588	Gm37444	3	1	5	4	4	0	3	0	1	1	1	2	9	0	1	1
ENSMUSG00000054493	Gm9947	0	0	2	0	4	1	0	0	1	0	0	0	18	0	0	0
ENSMUSG00000025930	Msc	1	4	0	0	1	0	1	1	6	0	0	0	3	1	1	0
ENSMUSG00000103492	Gm37412	1	2	4	0	7	2	0	0	1	0	0	0	16	1	0	0
ENSMUSG00000081201	Smt3h2-ps4	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1
ENSMUSG00000082193	Rpl5-ps1	34	20	34	35	11	14	28	14	27	26	37	23	22	12	29	27
ENSMUSG00000032769	Trpa1	1	2	5	1	9	0	0	0	0	1	0	0	19	0	0	0
ENSMUSG00000088159	Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000073737	Gm10566	7	5	6	0	11	8	0	7	7	1	1	3	11	6	7	3
ENSMUSG00000092083	Kcnb2	3	2	18	1	45	0	0	1	4	1	0	0	59	1	0	0
ENSMUSG00000102937	Gm38116	1	1	2	0	3	1	0	1	0	0	0	2	10	0	0	0
ENSMUSG00000104149	Gm37138	1	0	1	1	0	0	0	0	2	0	0	0	6	1	0	0
ENSMUSG00000088829	Gm25227	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	Gm25168	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000101652	Gm6060	1	1	7	0	1	0	0	1	0	0	0	0	14	0	1	0
ENSMUSG00000100814	Gm28669	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0
ENSMUSG00000025925	Terf1	489	377	567	496	726	456	442	485	368	737	459	601	620	436	350	435
ENSMUSG00000104379	Gm37509	0	0	1	0	10	2	0	0	1	7	0	0	1	0	0	0
ENSMUSG00000032719	Sbspon	0	1	1	0	0	1	1	0	0	2	0	0	3	0	0	0
ENSMUSG00000088943	Gm23259	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	Gm7634	1	0	3	1	3	3	1	1	0	1	0	2	6	2	2	1
ENSMUSG00000067795	4930444P10Rik	2	2	7	3	6	0	1	0	2	0	0	0	10	0	1	1
ENSMUSG00000043716	Rpl7	40160	34158	36494	73501	34758	43527	41450	43823	33916	36372	70327	46245	26302	40351	35879	77523
ENSMUSG00000025921	Rdh10	410	342	269	479	502	320	403	387	374	352	434	544	219	324	347	489
ENSMUSG00000104165	Gm38249	1	0	3	0	18	0	0	2	2	1	0	0	24	1	0	0
ENSMUSG00000100868	Gm28095	1	1	5	1	5	0	0	0	0	2	0	0	12	0	0	0
ENSMUSG00000025920	Stau2	209	196	249	329	198	313	326	298	221	269	243	323	239	260	299	328
ENSMUSG00000089982	Gm7568	1	1	9	0	2	3	1	1	0	2	0	2	18	0	1	1
ENSMUSG00000025939	Ube2w	2268	1901	1804	3785	2809	3016	1771	3189	2021	2202	3927	2580	1589	2695	1682	3744
ENSMUSG00000102457	Gm38342	7	3	9	3	6	3	9	6	6	10	7	8	7	1	10	1
ENSMUSG00000079658	Tceb1	3524	3050	3380	6966	3393	3893	3714	3866	3167	3814	5814	4299	2708	3500	3211	5804
ENSMUSG00000097744	D030040B21Rik	1	0	3	0	23	1	0	0	2	1	2	1	43	1	0	1
ENSMUSG00000100959	Gm7654	0	0	1	0	5	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000025940	Tmem70	1312	1234	1813	1503	1866	1640	1465	1550	1265	2156	1752	1585	1399	1497	1317	1776
ENSMUSG00000025779	Ly96	1270	1159	493	1949	473	888	1577	930	1105	559	1653	1574	413	870	1249	1815
ENSMUSG00000100093	Gm29649	0	1	0	0	4	0	0	0	0	0	0	0	5	0	0	0
ENSMUSG00000091020	Gm5828	1	1	3	2	2	2	0	0	0	0	0	0	1	2	0	0
ENSMUSG00000101640	Gm28376	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000104133	4921511E07Rik	0	1	0	0	4	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000042686	Jph1	0	0	10	0	38	3	2	2	0	5	1	5	47	3	1	2
ENSMUSG00000100110	Gm28783	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0
ENSMUSG00000025777	Gdap1	4	1	21	3	47	5	5	7	1	9	4	1	66	4	0	6
ENSMUSG00000099899	Gm28784	0	1	2	0	4	0	0	0	0	0	0	0	10	0	0	0
ENSMUSG00000100272	Gm28785	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000100398	Gm5251	0	0	2	0	1	0	1	0	0	0	0	0	3	0	0	0
ENSMUSG00000101589	Rbm6-ps1	1	5	2	4	12	1	1	1	2	4	3	1	9	3	0	1
ENSMUSG00000102048	Gm6075	2	0	1	2	2	1	1	2	0	0	2	1	2	0	0	1
ENSMUSG00000089534	Gm25166	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000067780	Pi15	5	2	13	7	23	2	2	2	2	4	6	3	48	3	4	6
ENSMUSG00000100053	Gm28154	2	0	2	0	6	0	0	0	1	2	0	1	10	0	0	0
ENSMUSG00000085125	Gm16070	0	3	5	0	9	0	0	0	1	0	0	0	26	1	0	0
ENSMUSG00000025776	Crispld1	2	0	11	0	20	0	0	0	1	2	0	0	49	0	1	0
ENSMUSG00000099895	Gm28153	0	0	7	0	9	0	0	0	0	1	0	0	21	0	0	0
ENSMUSG00000100554	Gm7690	0	3	3	0	7	1	0	0	0	1	0	0	5	0	0	0
ENSMUSG00000099473	Gm18775	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000099591	Gm17969	1	0	4	0	8	0	0	0	0	0	0	0	12	0	0	0
ENSMUSG00000102001	Gm28755	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000101717	Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
ENSMUSG00000025774	Crisp4	0	0	1	0	9	0	0	0	2	0	0	0	18	0	0	0
ENSMUSG00000070977	Defb44-ps	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000073735	Defb18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000067773	Gm15386	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000101685	Gm17837	0	1	1	0	3	0	0	2	0	0	1	0	3	0	0	0
ENSMUSG00000101738	Gm29006	0	0	3	0	3	0	0	1	0	0	0	0	4	0	0	0
ENSMUSG00000101306	Gm5252	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000088800	Gm24075	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	Gm28343	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000099433	Gm28344	0	0	1	0	2	0	0	1	0	0	0	0	5	0	0	0
ENSMUSG00000089787	Gm15825	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000042596	Tfap2d	2	0	8	0	21	0	0	0	0	1	0	0	28	0	0	0
ENSMUSG00000100720	Gm10075	1	3	1	0	5	0	4	0	4	0	1	0	6	6	0	2
ENSMUSG00000025927	Tfap2b	0	0	30	1	54	0	1	2	2	5	1	0	92	0	1	0
ENSMUSG00000100538	Gm28340	0	0	5	0	2	0	0	0	0	0	0	0	8	0	0	0
ENSMUSG00000101117	Gm28341	0	1	0	1	1	0	0	0	0	0	0	0	11	0	0	0
ENSMUSG00000100204	Gm4849	0	0	0	0	4	0	1	1	0	1	0	0	0	0	0	1
ENSMUSG00000084668	Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000102597	Gm38382	3	1	0	0	1	0	0	0	1	0	0	0	4	0	0	0
ENSMUSG00000043760	Pkhd1	4	7	45	1	86	3	1	1	7	15	3	0	153	3	0	2
ENSMUSG00000104095	Gm37315	1	2	5	0	8	0	0	0	0	3	0	0	24	0	0	0
ENSMUSG00000089914	4930486I03Rik	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000090142	Gm15795	2	3	3	3	0	2	2	0	2	1	2	2	7	1	4	5
ENSMUSG00000070175	Gm24162	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000065559	Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	Gm28653	2	1	4	0	14	0	0	1	2	2	0	0	29	1	0	0
ENSMUSG00000065480	Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	Il17a	1	0	2	2	3	2	8	0	2	1	6	4	5	2	7	1
ENSMUSG00000041872	Il17f	0	0	16	3	17	1	4	1	1	4	1	4	34	1	7	1
ENSMUSG00000041859	Mcm3	2148	2020	1253	1450	2015	2445	1400	2251	2250	1838	1511	1666	1694	2251	1150	1476
